hatchery,date,historic_flow,future_flow,flow_change_factor,pct_flow_change
Alsea Hatchery,1995-05-01,433174.7850355462,422959.9680664217,10214.816969124542,2.36
Alsea Hatchery,1996-05-01,598773.1897231002,580656.6121104851,18116.577612615074,3.03
Alsea Hatchery,1997-05-01,447681.6300939875,444061.32971154316,3620.300382444344,0.81
Alsea Hatchery,1998-05-01,346768.34318125364,332636.08907350217,14132.254107751476,4.08
Alsea Hatchery,1999-05-01,391106.4526894936,372482.55025372916,18623.902435764438,4.76
Alsea Hatchery,2000-05-01,280447.0056628975,266399.8876236241,14047.118039273366,5.01
Alsea Hatchery,2001-05-01,274584.06600138627,268931.6093527414,5652.456648644875,2.06
Alsea Hatchery,2002-05-01,286083.8398414077,283258.64104314946,2825.198798258265,0.99
Alsea Hatchery,2003-05-01,552153.4432731488,548229.4267717506,3924.0165013982914,0.71
Alsea Hatchery,2004-05-01,240714.2522692033,237166.6356944904,3547.6165747129126,1.47
Alsea Hatchery,2005-05-01,403844.150664535,385178.8216803814,18665.328984153573,4.62
Alsea Hatchery,2006-05-01,270814.97549355845,267154.9559171246,3660.0195764338714,1.35
Alsea Hatchery,1915-06-01,221174.75130177825,191505.4751776696,29669.27612410864,13.41
Alsea Hatchery,1916-06-01,232951.5894650925,214144.75917358618,18806.83029150631,8.07
Alsea Hatchery,1917-06-01,211588.33559550802,197456.12186009416,14132.213735413854,6.68
Alsea Hatchery,1918-06-01,96572.76135710228,92634.0761345543,3938.6852225479815,4.08
Alsea Hatchery,1919-06-01,172536.59772435436,159263.6013897389,13272.996334615455,7.69
Alsea Hatchery,1920-06-01,164144.99391963627,151578.47396523054,12566.519954405725,7.66
Alsea Hatchery,1921-06-01,180884.01332475644,167719.50631235843,13164.507012398011,7.28
Alsea Hatchery,1922-06-01,134326.13957718798,128163.9653682033,6162.174208984681,4.59
Alsea Hatchery,1923-06-01,139885.4615338769,128085.37807163564,11800.083462241251,8.44
Alsea Hatchery,1924-06-01,80630.42143271233,76846.40319562746,3784.018237084878,4.69
Alsea Hatchery,1925-06-01,157105.43057523438,141240.9626016127,15864.467973621679,10.1
Alsea Hatchery,1926-06-01,113178.65010881433,102072.75710036008,11105.893008454252,9.81
Alsea Hatchery,1927-06-01,148876.9372458663,134899.63999964294,13977.297246223374,9.39
Alsea Hatchery,1928-06-01,164067.46866379085,161045.02207919655,3022.4465845942905,1.84
Alsea Hatchery,1929-06-01,150640.7319589317,140004.8673163792,10635.864642552478,7.06
Alsea Hatchery,1930-06-01,126402.81815600087,115245.49962385229,11157.31853214858,8.83
Alsea Hatchery,1931-06-01,154307.61066479806,140827.3195961369,13480.291068661172,8.74
Alsea Hatchery,1932-06-01,157989.05690506924,150031.20891588682,7957.8479891824245,5.04
Alsea Hatchery,1933-06-01,210411.62182638448,186725.01881007265,23686.603016311827,11.26
Alsea Hatchery,1934-06-01,118467.74016456,112507.88775877557,5959.852405784433,5.03
Alsea Hatchery,1935-06-01,118450.8489817729,114349.11720248175,4101.731779291149,3.46
Alsea Hatchery,1936-06-01,204653.03418509732,174963.1970936316,29689.837091465713,14.51
Alsea Hatchery,1937-06-01,279821.27445705025,243407.87477995,36413.39967710024,13.01
Alsea Hatchery,1938-06-01,136601.17834749463,132828.89633871554,3772.2820087790897,2.76
Alsea Hatchery,1939-06-01,98364.85332119778,88745.98914011246,9618.864181085315,9.78
Alsea Hatchery,1940-06-01,140703.7669697115,135072.32115425335,5631.445815458137,4
Alsea Hatchery,1941-06-01,144114.98091535654,129160.28825991268,14954.692655443869,10.38
Alsea Hatchery,1942-06-01,175476.9993680589,154455.21883059476,21021.780537464132,11.98
Alsea Hatchery,1943-06-01,186048.60523404778,170138.80420853733,15909.801025510445,8.55
Alsea Hatchery,1944-06-01,142517.72444571188,133423.30681225657,9094.417633455305,6.38
Alsea Hatchery,1945-06-01,214017.66487388415,195032.05428110948,18985.61059277467,8.87
Alsea Hatchery,1946-06-01,113409.89891887731,107144.15890118235,6265.7400176949595,5.52
Alsea Hatchery,1947-06-01,173510.98952508255,148196.37219076877,25314.617334313778,14.59
Alsea Hatchery,1948-06-01,225505.0995700202,206275.63437076475,19229.465199255443,8.53
Alsea Hatchery,1949-06-01,128208.33504712708,117862.91951139751,10345.415535729568,8.07
Alsea Hatchery,1950-06-01,142095.76289805243,132507.7882955806,9587.974602471833,6.75
Alsea Hatchery,1951-06-01,100929.03177892801,92855.27988898275,8073.751889945255,8
Alsea Hatchery,1952-06-01,103355.10511698187,96690.97860760991,6664.126509371956,6.45
Alsea Hatchery,1953-06-01,220688.40101465047,192891.75028866445,27796.650725986023,12.6
Alsea Hatchery,1954-06-01,150726.51850842245,137267.4209115882,13459.097596834239,8.93
Alsea Hatchery,1955-06-01,175690.49583878918,170297.37741357184,5393.118425217341,3.07
Alsea Hatchery,1956-06-01,131952.66708350307,121875.91200198125,10076.755081521813,7.64
Alsea Hatchery,1957-06-01,172111.83725054355,157978.91924169575,14132.918008847802,8.21
Alsea Hatchery,1958-06-01,178322.690934301,165263.6082266557,13059.082707645313,7.32
Alsea Hatchery,1959-06-01,186647.36393678884,166606.61522934286,20040.74870744598,10.74
Alsea Hatchery,1960-06-01,292438.59080412355,263064.0465902714,29374.544213852147,10.04
Alsea Hatchery,1961-06-01,204460.29772066078,190150.36761078748,14309.930109873298,7
Alsea Hatchery,1962-06-01,192025.06904023027,177361.33267578838,14663.736364441895,7.64
Alsea Hatchery,1963-06-01,213675.8563552132,201946.23188596067,11729.624469252536,5.49
Alsea Hatchery,1964-06-01,143042.6013547705,130980.14316244272,12062.458192327787,8.43
Alsea Hatchery,1965-06-01,109572.80949644955,103398.42708143301,6174.382415016546,5.63
Alsea Hatchery,1966-06-01,112381.9752548692,105482.58250606898,6899.392748800223,6.14
Alsea Hatchery,1967-06-01,144713.754983455,138395.63951064931,6318.115472805686,4.37
Alsea Hatchery,1968-06-01,274505.0367329716,230450.94191883158,44054.09481414003,16.05
Alsea Hatchery,1969-06-01,158325.43135859628,140454.58134350405,17870.850015092234,11.29
