hatchery,comid,month,historic_flow,future_flow,flow_change_factor,pct_flow_change
Bandon Hatchery,23915599,6,7326.473990170118,6779.287858584491,547.1861315856268,7.47
Bandon Hatchery,23915599,7,4687.022162971847,4309.112528547126,377.90963442472093,8.06
Bandon Hatchery,23915599,8,3223.5419514879372,2849.8180096160127,373.7239418719246,11.59
Bandon Hatchery,23915599,9,2491.0185830975665,2080.709698991795,410.30888410577154,16.47
Bandon Hatchery,23915599,10,3263.878878364919,2986.4083302284503,277.47054813646855,8.5
Bandon Hatchery,23915599,11,7851.734309085314,8230.687791901335,-378.9534828160213,-4.83
Bandon Hatchery,23915599,12,12851.300037009121,13278.368990128958,-427.0689531198368,-3.32
Cole Rivers Hatchery,23923430,1,3963895.695549108,5125183.678568309,-1161287.983019201,-29.3
Cole Rivers Hatchery,23923430,2,4377412.059768904,5853973.792520276,-1476561.7327513723,-33.73
Cole Rivers Hatchery,23923430,3,4688468.275350889,5950749.221786271,-1262280.9464353817,-26.92
Cole Rivers Hatchery,23923430,4,5187198.942092587,5963703.614685727,-776504.67259314,-14.97
Cole Rivers Hatchery,23923430,5,5817639.531107506,5437830.6039838595,379808.92712364625,6.53
Cole Rivers Hatchery,23923430,6,6008302.669907308,4119079.714960718,1889222.9549465901,31.44
Cole Rivers Hatchery,23923430,7,4082148.47833093,2275078.659769349,1807069.8185615814,44.27
Cole Rivers Hatchery,23923430,8,2082733.6732513446,1217270.866557141,865462.8066942035,41.55
Cole Rivers Hatchery,23923430,9,1163497.9065431184,784752.4159511622,378745.4905919562,32.55
Cole Rivers Hatchery,23923430,10,995130.9457726986,813436.8849064304,181694.06086626824,18.26
Cole Rivers Hatchery,23923430,11,1804418.5579894744,1877862.6911696803,-73444.13318020594,-4.07
Cole Rivers Hatchery,23923430,12,3139838.022264466,3738810.130371857,-598972.1081073908,-19.08
Cole Rivers Hatchery,23923474,1,3731606.4564380087,4879639.76131461,-1148033.3048766013,-30.77
Cole Rivers Hatchery,23923474,2,4118921.034773511,5587337.39727323,-1468416.3624997195,-35.65
Cole Rivers Hatchery,23923474,3,4442957.527615936,5709652.822028026,-1266695.2944120904,-28.51
Cole Rivers Hatchery,23923474,4,4983286.526451178,5767137.153564228,-783850.6271130498,-15.73
Cole Rivers Hatchery,23923474,5,5674316.872165114,5301843.786348396,372473.0858167177,6.56
Cole Rivers Hatchery,23923474,6,5912337.902706776,4032284.3979225014,1880053.5047842744,31.8
Cole Rivers Hatchery,23923474,7,4025727.3416876285,2224155.109499782,1801572.2321878467,44.75
Cole Rivers Hatchery,23923474,8,2042621.3106633003,1179356.473069832,863264.8375934684,42.26
Cole Rivers Hatchery,23923474,9,1126701.2376558038,750001.7117966147,376699.5258591891,33.43
Cole Rivers Hatchery,23923474,10,944990.3839106543,765404.8153769432,179585.56853371114,19
Cole Rivers Hatchery,23923474,11,1690382.700560658,1759442.4253211312,-69059.72476047324,-4.09
Cole Rivers Hatchery,23923474,12,2948631.9359160173,3542521.80983992,-593889.8739239029,-20.14
